name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Santa Barbara, CA",2022-05-14,81,51.5,63.6,79.8,51.5,63.6,50.1,66,0,0,0,rain,0,0,26.4,9.1,171.5,1013.1,0,9.2,360.3,31.2,10,10,2022-05-14T05:57:08,2022-05-14T19:53:40,0.45,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-05-15,73.4,55.3,61.8,73.4,55.3,61.8,53.6,75.9,0,0,0,rain,0,0,27.7,13.8,145.6,1012.3,3.2,8.5,284.2,24.5,10,10,2022-05-15T05:56:24,2022-05-15T19:54:26,0.5,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-16,66.9,52.8,60.5,66.9,52.8,60.5,52.1,74.4,0,0,0,rain,0,0,25.3,14.3,135.6,1012.8,6.5,9.3,361.4,31.2,10,10,2022-05-16T05:55:40,2022-05-16T19:55:11,0.52,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-17,63.2,49,57.1,63.2,48.5,57.1,50.9,80.1,0,0,0,rain,0,0,23,13,137,1014.4,10.9,8,358.3,30.9,10,10,2022-05-17T05:54:59,2022-05-17T19:55:56,0.56,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-18,68.1,51.6,58.8,68.1,51.6,58.8,51.2,76.8,0,0,0,,0,0,13.9,9.3,190.5,1015.1,11.7,6.9,341,29.5,10,10,2022-05-18T05:54:18,2022-05-18T19:56:40,0.59,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-19,65,54.9,58.9,65,54.9,58.9,53.5,82.6,0,0,0,rain,0,0,23,8.6,172.8,1012.1,83.5,6.9,140.3,12,5,10,2022-05-19T05:53:39,2022-05-19T19:57:25,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-05-20,64.6,54.8,59.2,64.6,54.8,59.2,53.8,83.2,0.021,100,8.33,rain,0,0,21.9,9.3,246,1009.5,92.6,6.9,86.8,7.4,3,10,2022-05-20T05:53:02,2022-05-20T19:58:08,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"SE234,CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-05-21,69.3,49.8,59.1,69.3,49.8,59.1,50.6,75.5,0,0,0,,0,0,19.7,15.4,246.8,1013.7,25.5,7.7,338.4,29.5,9,10,2022-05-21T05:52:26,2022-05-21T19:58:52,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-22,65.5,52.5,57.4,65.5,52.5,57.4,51,80.2,0,0,0,,0,0,13.4,10.9,181.4,1015.8,40.5,6.9,346.6,30,10,10,2022-05-22T05:51:52,2022-05-22T19:59:34,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-23,69.9,54.4,58.6,69.9,54.4,58.6,52,79.5,0,0,0,rain,0,0,21.9,11,187.7,1012.9,75.2,6.4,294.4,25.3,10,10,2022-05-23T05:51:19,2022-05-23T20:00:17,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-24,67,50.7,58.7,67,50.7,58.7,53.7,84.4,0,0,0,rain,0,0,17.2,11,230.1,1010.5,78.8,6.2,304.2,26.2,10,10,2022-05-24T05:50:48,2022-05-24T20:00:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-25,67.8,55.9,60.6,67.8,55.9,60.6,56.3,86.3,0,0,0,rain,0,0,7.8,9.6,144.9,1011.6,83.8,5.6,328.6,28.2,10,10,2022-05-25T05:50:18,2022-05-25T20:01:40,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-26,63.1,58.6,60.4,63.1,58.6,60.4,55.9,85.6,0,0,0,rain,0,0,20.8,9.1,195.6,1014.2,96.7,5.8,71.5,6.2,3,10,2022-05-26T05:49:50,2022-05-26T20:02:20,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-27,67.2,56.7,61.6,67.2,56.7,61.6,53.4,75,0.01,100,4.17,rain,0,0,16.1,14.1,247.8,1016.2,65.6,8.9,144.1,12.4,7,10,2022-05-27T05:49:23,2022-05-27T20:03:00,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SE234,CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-28,68.3,50.1,60.4,68.3,50.1,60.4,52,74.7,0,0,0,,0,0,23,11.7,146.6,1013,14.6,9.9,227.6,19.7,7,10,2022-05-28T05:48:59,2022-05-28T20:03:40,0.94,Clear,Clear conditions throughout the day.,clear-day,"CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-29,79.3,54.3,67.1,79.3,54.3,67.1,48.1,52.3,0,0,0,,0,0,35.6,19.6,282.2,1009.1,0.3,9.8,339.1,29.5,9,10,2022-05-29T05:48:35,2022-05-29T20:04:18,0.98,Clear,Clear conditions throughout the day.,clear-day,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-30,80.3,57.6,67,79.1,57.6,67,46.6,50.3,0,0,0,,0,0,26.4,14.5,252.1,1008.8,2.3,9.1,313.8,27,9,10,2022-05-30T05:48:13,2022-05-30T20:04:56,0,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE244,72392523190,KSBA,SBVC1,SE317,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-31,72.7,53.1,63.1,72.7,53.1,63.1,51,65.9,0,0,0,rain,0,0,21.9,12.9,129.7,1009.4,2.2,8.2,365.3,31.5,10,10,2022-05-31T05:47:53,2022-05-31T20:05:33,0.04,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-01,73.5,53.1,63.5,73.5,53.1,63.5,52.8,69,0,0,0,rain,0,0,17.2,12.8,199.1,1010.4,0.3,8.6,365.4,31.6,10,10,2022-06-01T05:47:35,2022-06-01T20:06:09,0.08,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-02,70.2,57.8,63.3,70.2,57.8,63.3,55.3,75.8,0,0,0,rain,0,0,23,10.7,144.8,1009.9,30.5,8,295.5,25.3,10,10,2022-06-02T05:47:18,2022-06-02T20:06:44,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-03,68.3,59.3,62.3,68.3,59.3,62.3,55.9,80.3,0,0,0,rain,0,0,20.8,9.9,174.8,1010.9,64.4,8.2,106,9.1,4,10,2022-06-03T05:47:03,2022-06-03T20:07:19,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-04,66.6,56.1,61.5,66.6,56.1,61.5,55,80,0,0,0,,0,0,20.8,11.1,172.5,1012.6,36.4,9.4,163,14.3,7,10,2022-06-04T05:46:49,2022-06-04T20:07:52,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-05,83.8,53.7,67.2,83.4,53.7,67.2,56,69.1,0,0,0,rain,0,0,29.8,13.7,178.7,1011.3,0.1,9.9,331.7,28.5,9,10,2022-06-05T05:46:37,2022-06-05T20:08:25,0.21,Clear,Clear conditions throughout the day.,clear-day,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-06,75.2,61.3,67.2,75.2,61.3,67.2,59.3,76.3,0,0,0,rain,0,0,23,11.6,138.4,1010.2,18.3,9.2,287.3,24.8,9,10,2022-06-06T05:46:26,2022-06-06T20:08:56,0.24,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-07,70,53.9,63,70,53.9,63,56.3,79.6,0,0,0,,0,0,18.3,11.8,137.9,1010.1,12.1,8,364.3,31.5,10,10,2022-06-07T05:46:17,2022-06-07T20:09:27,0.25,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-08,69.8,55.5,63.7,69.8,55.5,63.7,56.8,79,0,0,0,rain,0,0,24.2,9.4,146.5,1009.5,23.9,8.1,346.5,29.8,10,10,2022-06-08T05:46:10,2022-06-08T20:09:56,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE244,72392523190,KSBA,SBVC1,SE317,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-09,71.7,60.4,65.7,71.7,60.4,65.7,58.1,77.1,0,0,0,,0,0,22.4,10.5,176.1,1009.9,46.9,7.7,327.8,28.3,10,10,2022-06-09T05:46:05,2022-06-09T20:10:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-10,72.4,59.1,64.8,72.4,59.1,64.8,59,82.3,0,0,0,rain,0,0,17.2,11.3,189.4,1011.9,80.3,5.1,358.8,30.8,10,10,2022-06-10T05:46:01,2022-06-10T20:10:52,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-11,70.2,59.1,63.7,70.2,59.1,63.7,58.8,85,0,0,0,rain,0,0,15,10.6,204.7,1012.6,78.1,4.6,351.8,30.3,10,10,2022-06-11T05:45:58,2022-06-11T20:11:18,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-12,67.6,57.7,62.2,67.6,57.7,62.2,58,87,0,0,0,rain,0,0,24.2,10.6,181.1,1010.8,58.7,6.1,343.5,29.7,10,10,2022-06-12T05:45:57,2022-06-12T20:11:43,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-13,76.2,59.9,68.5,76.2,59.9,68.5,55.9,67.8,0,0,0,rain,0,0,27.7,13.1,186.8,1010.4,23.8,8.7,321.3,27.9,10,10,2022-06-13T05:45:58,2022-06-13T20:12:06,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-06-14,74.2,59.7,67.3,74.2,59.7,67.3,54.7,66.1,0,0,0,rain,0,0,27.7,14.4,142.4,1010.5,8.2,8,343.2,29.6,10,10,2022-06-14T05:46:00,2022-06-14T20:12:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-06-15,75.3,55.4,65.6,75.3,55.4,65.6,56.6,73.7,0,0,0,,0,0,21.9,15.6,177.5,1009.5,6.1,8.1,354.2,30.6,10,10,2022-06-15T05:46:04,2022-06-15T20:12:50,0.54,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-16,72.6,62.1,65.4,72.6,62.1,65.4,59,80.4,0,0,0,rain,0,0,18.8,10.8,170.5,1009,62,6.9,332.4,28.6,10,10,2022-06-16T05:46:09,2022-06-16T20:13:09,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-17,76.3,56.6,65.6,76.3,56.6,65.6,48,55.7,0,0,0,,0,0,24.1,16.4,301.6,1010,26.9,9.8,286.6,24.8,9,10,2022-06-17T05:46:16,2022-06-17T20:13:28,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-18,77.1,48.6,64,77.1,48.6,64,46.9,55.3,0,0,0,rain,0,0,25.3,12.7,209.1,1011.9,1.8,9.9,357.8,30.7,10,10,2022-06-18T05:46:24,2022-06-18T20:13:45,0.65,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-19,85.6,52.7,69.3,82.6,52.7,69,48.5,51.7,0,0,0,rain,0,0,31.3,18.4,248.1,1013.7,2.9,9.7,357.6,30.8,10,10,2022-06-19T05:46:34,2022-06-19T20:14:00,0.68,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-06-20,79.1,58.9,68.4,79.1,58.9,68.4,55,64,0,0,0,rain,0,0,18.3,10.8,174.4,1011.5,0.4,8.8,359.7,31,10,10,2022-06-20T05:46:45,2022-06-20T20:14:14,0.75,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-06-21,76.1,60.4,68,76.1,60.4,68,58.3,72.3,0,0,0,rain,0,0,27.7,19.3,124.1,1011.5,1.4,7.5,356.5,30.9,10,10,2022-06-21T05:46:57,2022-06-21T20:14:27,0.75,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-06-22,71.1,55.3,63.6,71.1,55.3,63.6,55.8,76.7,0.001,100,4.17,rain,0,0,18.3,15.5,257.8,1013.1,35.1,7.6,354.5,30.5,10,10,2022-06-22T05:47:11,2022-06-22T20:14:38,0.78,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-06-23,73.4,58.3,63.7,73.4,58.3,63.7,56.6,78.9,0,0,0,,0,0,24.2,14.6,234,1011.7,44.2,7.6,300.8,26,9,10,2022-06-23T05:47:27,2022-06-23T20:14:48,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-06-24,71.1,58.4,63.1,71.1,58.4,63.1,56.8,80.8,0,0,0,rain,0,0,18.3,15.3,196.7,1011.6,51.5,7.8,303.5,26.3,9,10,2022-06-24T05:47:43,2022-06-24T20:14:56,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CI107,SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-25,71.3,58.4,63.5,71.3,58.4,63.5,56.7,79.6,0,0,0,rain,0,0,15,13.9,165.3,1012.6,46.2,7.7,294.5,25.5,9,10,2022-06-25T05:48:01,2022-06-25T20:15:03,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-06-26,73.2,58.4,64.2,73.2,58.4,64.2,57.1,78.8,0,0,0,rain,0,0,16.1,9.3,143.4,1014.3,30.1,7.9,352.2,30.4,10,10,2022-06-26T05:48:20,2022-06-26T20:15:08,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-27,72.8,57.5,64.8,72.8,57.5,64.8,57.4,78.1,0,0,0,rain,0,0,14.3,9.8,211.8,1015.5,30.6,7.8,348.3,30.1,10,10,2022-06-27T05:48:41,2022-06-27T20:15:12,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-06-28,71.8,59.2,64.5,71.8,59.2,64.5,58.7,82,0,0,0,rain,0,0,8.3,8.1,175.4,1015.1,35.5,7.9,251.7,21.6,10,10,2022-06-28T05:49:03,2022-06-28T20:15:13,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,72392793110,KOXR"
"Santa Barbara, CA",2022-06-29,71.9,59.2,65.4,71.9,59.2,65.4,59.2,81,0,0,0,rain,0,0,9.6,13.8,199.8,1015.7,27,7.4,235.2,20.4,8,10,2022-06-29T05:49:26,2022-06-29T20:15:14,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72392523190,KSBA,72392793110,KOXR"
"Santa Barbara, CA",2022-06-30,72.9,61.2,66.1,72.9,61.2,66.1,58.1,76.6,0,0,0,rain,0,0,10.5,11.7,168.1,1015.5,25.2,8.1,247.1,21.5,9,10,2022-06-30T05:49:50,2022-06-30T20:15:13,0.06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-07-01,72.7,57.3,65.4,72.7,57.3,65.4,56.9,75.3,0,0,0,rain,0,0,11.6,9.9,181.2,1014.5,4.3,9.2,290.2,25.1,9,10,2022-07-01T05:50:15,2022-07-01T20:15:10,0.09,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-02,74.6,55.9,65.4,74.6,55.9,65.4,55.6,71.8,0,0,0,rain,0,0,19.7,12,169.4,1012.9,4.5,9.6,312.2,27,9,10,2022-07-02T05:50:41,2022-07-02T20:15:05,0.13,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-03,74.9,52.4,65.4,74.9,52.4,65.4,53.1,65.6,0,0,0,,0,0,29.8,13.2,213.1,1012.6,5.4,9.8,311.7,26.8,9,10,2022-07-03T05:51:09,2022-07-03T20:14:59,0.16,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-04,71.7,55,64.5,71.7,55,64.5,54.5,70.5,0,0,0,rain,0,0,24.2,11,176.9,1013.2,4.3,9.9,307.5,26.6,9,10,2022-07-04T05:51:37,2022-07-04T20:14:51,0.19,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE234,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-05,73.5,57.4,66.5,73.5,57.4,66.5,58.5,75.9,0,0,0,rain,0,0,17.2,12.1,163.5,1013.3,5.6,9.9,289.5,25,8,10,2022-07-05T05:52:06,2022-07-05T20:14:42,0.23,Clear,Clear conditions throughout the day.,clear-day,"CI107,SE234,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-06,74.2,57.9,66.2,74.2,57.9,66.2,59.3,79.4,0,0,0,rain,0,0,20.8,11.5,170.8,1013.5,21.4,9.7,351.3,30.4,10,10,2022-07-06T05:52:37,2022-07-06T20:14:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-07-07,75.5,61.7,67.7,75.5,61.7,67.7,58.9,74.8,0,0,0,rain,0,0,17.2,11.8,207.8,1013.9,4.1,9.9,348.7,30.2,10,10,2022-07-07T05:53:08,2022-07-07T20:14:18,0.3,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-07-08,71.4,58.5,64.1,71.4,58.5,64.1,58.5,82.8,0,0,0,rain,0,0,17.2,16.8,180.8,1016.3,64.1,7.8,343.1,29.8,10,10,2022-07-08T05:53:40,2022-07-08T20:14:04,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-07-09,69.8,59.6,63.8,69.8,59.6,63.8,58.1,82.3,0,0,0,rain,0,0,20.8,10.5,176.4,1018.1,56.5,7.8,333.3,28.9,10,10,2022-07-09T05:54:13,2022-07-09T20:13:48,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
